Experiment,lab,Language,Subject,Sex,KL,Age_months,Age_years,method,cite,typical
Almoammer_Barner_2013,Barner,Saudi,30,NA,CP,47,3.9166666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,31,NA,CP,44,3.6666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,32,NA,4,44,3.6666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,33,NA,2,44,3.6666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,34,NA,2,44,3.6666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,35,NA,2,43,3.5833333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,36,NA,2,46,3.8333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,37,NA,3,47,3.9166666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,38,NA,4,47,3.9166666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,39,NA,2,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,40,NA,2,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,41,NA,2,46,3.8333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,42,NA,CP,44,3.6666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,43,NA,4,49,4.083333333333333,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,44,NA,CP,53,4.416666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,45,NA,CP,53,4.416666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,46,NA,3,52,4.333333333333333,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,47,NA,2,52,4.333333333333333,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,48,NA,2,51,4.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,49,NA,CP,50,4.166666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,50,NA,CP,54,4.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,51,NA,CP,53,4.416666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,52,NA,CP,52,4.333333333333333,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,53,NA,CP,54,4.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,54,NA,CP,53,4.416666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,55,NA,CP,53,4.416666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,56,NA,2,51,4.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,57,NA,CP,53,4.416666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,58,NA,2,51,4.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,59,NA,1,50,4.166666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,60,NA,3,52,4.333333333333333,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,61,NA,1,51,4.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,62,NA,3,52,4.333333333333333,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,63,NA,CP,50,4.166666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,64,NA,3,51,4.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,65,NA,CP,53,4.416666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-1,NA,2,36,3,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-10,NA,2,41,3.4166666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-11,NA,1,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-12,NA,2,37,3.0833333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-13,NA,1,38,3.1666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-14,NA,4,50,4.166666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-15,NA,0,38,3.1666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-16,NA,2,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-17,NA,CP,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-18,NA,2,50,4.166666666666667,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-19,NA,2,52,4.333333333333333,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-2,NA,2,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-20,NA,2,46,3.8333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-21,NA,2,40,3.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-3,NA,2,36,3,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-6,NA,2,42,3.5,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-7,NA,1,45,3.75,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-8,NA,2,45,3.75,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,Saudi,Exc-9,NA,0,37,3.0833333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,100212-A1,NA,0,34,2.8333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,100212-AA,NA,0,25,2.0833333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,100212-BL,NA,0,27,2.25,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,100912-DH,NA,0,28,2.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,100912-LB,NA,0,25,2.0833333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,100912-TL,NA,0,34,2.8333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,101012-PL,NA,0,32,2.6666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,101112-AD,NA,0,28,2.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,101612-NR,NA,0,28,2.3333333333333335,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
Almoammer_Barner_2013,Barner,English,101812-S1,NA,0,32,2.6666666666666665,non-titrated,"Almoammer, A., Sullivan, J., Donlan, C., Marusic, F., O’Donnell, T., & Barner, D. (2013). Grammatical morphology as a source of early number word meanings. Proceedings of the National Academy of Sciences, 110(46), 18448-18453.",typical
