Experiment,Participant,Language,PrimaryLang,Age_months,SEX,method,cite,1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,052412-MT,English,English,41.35,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,6,10,3,4,3,4,5,1,4,2,10,4,2,1,7,5,10,3
Wagner2016,051612-CV,English,Spanish,57.2,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,10,10,2,1,5,4,10,3
Wagner2016,051612-GG,English,Spanish,57.24,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,051612-AG,English,English,55.63,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,051612-GM,English,English,59.57,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,050912-MM,English,English,58.36,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,050912-NM,English,English,25.95,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,,,,,,,,,,,,,,
Wagner2016,041912-SP,English,English,52.14,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,040912-ML,English,English,54.47,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,120711-VC,English,Spanish,42.14,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,4,10,9,10,8,8,10,10,8,1,10,9,8,10,7,1,10,8,10,10
Wagner2016,121511-RR,English,Spanish,52.01,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,10,10,10,10,10,10,,,,,,,,,,,,,
Wagner2016,121511-JB,English,Spanish,56.71,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,7,3,6,4,1,5,2,8,,2,1,5,4,,3
Wagner2016,121511-SM2,English,Spanish,55.59,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,10,10,2,1,5,4,8,3
Wagner2016,021512-OI,English,Spanish,41.74,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,10,5,10,5,10,10,2,10,5,1,3,10,,,,,,,,
Wagner2016,120711-AB,English,Spanish,44.24,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,4,2,3,5,5,2,3,1,2,2,4,5,2,1,3,2,5,
Wagner2016,120711-AC,English,Spanish,38.03,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,,,,,,,,,,,,,,
Wagner2016,111912-MC,English,Spanish,40.07,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,
Wagner2016,111912-MB,English,Spanish,46.28,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,2,3,2,3,2,2,2,4,1,2,2,3,3,2,1,3,3,3,2
Wagner2016,111912-PB,English,Spanish,26.88,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,
Wagner2016,111912-MA,English,Spanish,34.21,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,
Wagner2016,112812-KM,English,English,39.77,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,3,3,3,2,3,2,3,1,4,2,3,2,2,1,3,3,3,3
Wagner2016,112812-AK,English,English,57.2,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,113012-MB,English,Spanish,54.51,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,9,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,112812-NA,English,English,56.32,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,9,3,9,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,020413-DM,English,English-Spanish,55.72,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,9,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,020413-MY,English,English,42.57,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,6,10,4,6,4,10,7,1,10,2,4,5,2,1,10,6,6,4
Wagner2016,020413-AM,English,English,54.24,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,020413-LC,English,English,55.56,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,020413-RC,English,English,59.44,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,020413-CM,English,English,51.71,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,082112-ET2,Spanish,English,58.85,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,3,3,3,4,1,5,2,8,3,2,1,5,4,8,3
Wagner2016,082112-ET1,Spanish,English,58.85,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,,,,,,,,
Wagner2016,080312-VW,Spanish,English,44.11,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,6,7,10,5,5,3,8,6,1,7,2,7,6,2,1,10,5,7,4
Wagner2016,080212-HS,Spanish,English,37.37,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",3,5,5,4,1,2,3,3,3,2,1,1,2,2,2,2,4,2,2,1,4
Wagner2016,080212-TD,Spanish,English,46.55,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,5,2,3,2,2,10,2,3,2,1,3,2,1,2,2,2,3,2,1,1
Wagner2016,080212-MF,Spanish,English,34.84,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,6,3,3,7,10,2,3,8,2,5,10,10,10,10,10,10,6,10,10
Wagner2016,080212-LA,Spanish,English,38.06,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,3,10,10,10,5,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Wagner2016,080112-SF,Spanish,English,59.61,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,080112-SL,Spanish,English-Spanish,45.69,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,9,5,3,8,3,10,4,1,10,2,10,10,10,10,10,10,10,10
Wagner2016,071112-AM,Spanish,English,60,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,5,6,6,10,2,6,8,10,1,5,10,10,7,2,1,10,10,10,3
Wagner2016,070312-EJ,Spanish,English,51.74,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,6,7,3,7,3,8,3,1,5,2,,,,,,,,
Wagner2016,070312-MH,Spanish,English,55.92,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,7,5,9,10,3,10,4,1,5,2,8,9,2,1,5,4,8,3
Wagner2016,070312-AB,Spanish,English,57.47,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,6,5,5,5,3,5,6,1,4,2,4,5,2,1,5,4,5,8
Wagner2016,070312-LH,Spanish,English,59.01,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,3,3,10,4,1,10,2,10,5,7,1,10,10,10,3
Wagner2016,070312-KT,Spanish,English,59.67,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,052412-MT,Spanish,English,41.35,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,5,6,3,2,3,2,3,1,2,2,4,2,4,6,10,10,10,3
Wagner2016,051612-CV,Spanish,Spanish,57.2,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,10,3
Wagner2016,051612-GG,Spanish,Spanish,57.24,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,9,5,3,9,3,10,4,1,5,2,7,10,2,1,5,4,8,3
Wagner2016,051612-AG,Spanish,English,55.63,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,7,5,3,10,3,10,4,1,5,2,7,10,2,1,5,4,8,3
Wagner2016,051612-GM,Spanish,English,59.57,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,6,3,6,4,1,5,2,8,6,2,1,5,4,8,3
Wagner2016,050912-MM,Spanish,English,58.36,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,050912-NM,Spanish,English,25.95,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,,,,,,,,,,,,,,,
Wagner2016,041912-SP,Spanish,English,52.14,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,040912-ML,Spanish,English,54.47,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,7,5,3,9,3,8,4,1,5,2,7,9,2,1,5,4,6,3
Wagner2016,120711-VC,Spanish,Spanish,42.14,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,3,4,4,5,7,8,9,,,,,,,,,,,,,
Wagner2016,121511-RR,Spanish,Spanish,52.01,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,2,2,2,2,2,2,2,2,1,,,,,,,,,,
Wagner2016,121511-JB,Spanish,Spanish,56.71,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,2,4,5,5,3,6,3,9,10,1,8,2,7,9,2,1,8,9,,
Wagner2016,121511-SM2,Spanish,Spanish,55.59,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,7,3,7,3,1,5,2,8,9,2,1,4,4,7,3
Wagner2016,021512-OI,Spanish,Spanish,41.74,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",4,10,10,10,10,10,10,,,,,,,,,,,,,,
Wagner2016,120711-AB,Spanish,Spanish,44.24,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",5,2,3,3,3,4,8,,,,,,,,,,,,,,
Wagner2016,120711-AC,Spanish,Spanish,38.03,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,10,10,10,,,,,,,,,,,
Wagner2016,111912-MC,Spanish,Spanish,40.07,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,,,,,,,,,,,,,,,,,,,
Wagner2016,111912-MB,Spanish,Spanish,46.28,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",2,2,3,3,3,3,3,3,3,5,1,2,2,3,2,2,1,2,3,3,2
Wagner2016,111912-PB,Spanish,Spanish,26.88,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,,,,,,,,,,,,,,,,,,
Wagner2016,111912-MA,Spanish,Spanish,34.21,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,
Wagner2016,112812-KM,Spanish,English,39.77,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,
Wagner2016,112812-AK,Spanish,English,57.2,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,3,4,3,4,3,4,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,113012-MB,Spanish,Spanish,54.51,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,7,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,7,3
Wagner2016,112812-NA,Spanish,English,56.32,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,7,3,7,4,1,5,2,8,8,2,1,5,4,8,3
Wagner2016,020413-DM,Spanish,English-Spanish,55.72,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,9,3
Wagner2016,020413-MY,Spanish,English,42.57,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,10,10,6,4,5,4,6,6,1,7,2,10,10,2,1,10,6,6,4
Wagner2016,020413-AM,Spanish,English,54.24,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,9,10,2,1,5,4,9,3
Wagner2016,020413-LC,Spanish,English,55.56,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,9,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,020413-RC,Spanish,English,59.44,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,020413-CM,Spanish,English,51.71,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,10,5,3,10,3,9,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,032112-NJ,English,French,39.8,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,5,7,8,3,10,3,8,5,1,4,2,6,10,2,1,4,6,,3
Wagner2016,031412-KH,English,English,46.81,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,3,5,3,6,3,4,4,1,4,2,5,5,2,1,4,4,7,3
Wagner2016,031412-TU,English,NA,42.07,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,4,5,3,10,3,9,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,031412-BH,English,NA,38.45,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,10,2,3,3,3,2,3,2,10,1,2,6,2,2,2,1,2,2,2,10
Wagner2016,032312-NS,English,French-English,45.89,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,032312-O,English,NA,46.41,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,3,4,3,4,3,4,3,1,4,2,3,5,2,1,3,3,5,3
Wagner2016,031612-M,English,English,47.6,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,4,3,3,4,3,4,4,1,5,2,5,7,2,6,4,6,10,3
Wagner2016,032612-AB (031312-AB),English,French,37.04,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,3,4,10,2,3,2,4,5,1,6,2,3,4,2,1,3,3,4,3
Wagner2016,031412-PF,English,English,49.9,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,032612-LO,English,English,59.87,M,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",10,10,10,10,10,10,10,10,10,10,10,10,,,,,,,,,
Wagner2016,031312-CC,English,English,48.91,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,4,8,5,3,10,3,10,4,1,5,2,8,10,2,1,5,4,8,3
Wagner2016,031312-AM,English,French,34.57,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
Wagner2016,031312-ZL,English,English,36.74,F,non-titrated,"Wagner, K., Chu, J., & Barner, D. (2019). Do children's number words begin noisy?.ÊDevelopmental science,Ê22(1), e12752.",1,2,5,6,5,5,7,10,6,5,1,4,2,8,10,2,1,10,10,7,3
