Experiment,Participant,Language,Sex,Age,method,cite,Query,Response
Krajcsi2018,26,Hungarian,M,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,27,Hungarian,F,39,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,28,Hungarian,F,56,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,29,Hungarian,F,55,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,30,Hungarian,M,60,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,31,Hungarian,M,50,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,32,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,33,Hungarian,M,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,34,Hungarian,F,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,35,Hungarian,F,39,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,36,Hungarian,F,51,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,37,Hungarian,M,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,38,Hungarian,M,44,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,39,Hungarian,M,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,40,Hungarian,F,42,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,41,Hungarian,F,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,42,Hungarian,F,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,43,Hungarian,M,52,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,44,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,45,Hungarian,M,50,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,46,Hungarian,F,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,47,Hungarian,M,44,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,48,Hungarian,F,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,49,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,50,Hungarian,F,46,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,51,Hungarian,F,42,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,52,Hungarian,M,57,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,53,Hungarian,M,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,54,Hungarian,M,37,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,55,Hungarian,F,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,56,Hungarian,F,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,57,Hungarian,M,36,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,58,Hungarian,F,44,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,59,Hungarian,F,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,60,Hungarian,F,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,61,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,62,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,63,Hungarian,M,40,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,2
Krajcsi2018,64,Hungarian,M,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,65,Hungarian,M,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,66,Hungarian,F,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,67,Hungarian,M,42,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,68,Hungarian,F,40,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,69,Hungarian,M,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,70,Hungarian,M,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,71,Hungarian,M,39,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,72,Hungarian,F,40,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,73,Hungarian,F,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,74,Hungarian,M,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",1,1
Krajcsi2018,1,Hungarian,M,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,2,Hungarian,F,42,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,3,Hungarian,M,51,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,4,Hungarian,M,51,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,5,Hungarian,F,50,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,4
Krajcsi2018,6,Hungarian,F,59,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,7,Hungarian,F,52,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,4
Krajcsi2018,8,Hungarian,M,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,9,Hungarian,F,47,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,10,Hungarian,F,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,11,Hungarian,F,55,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,12,Hungarian,F,50,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,13,Hungarian,F,52,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,14,Hungarian,M,57,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,15,Hungarian,M,52,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,16,Hungarian,M,59,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,17,Hungarian,M,54,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,18,Hungarian,F,50,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,19,Hungarian,M,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,20,Hungarian,F,42,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,1
Krajcsi2018,21,Hungarian,F,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,22,Hungarian,F,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,23,Hungarian,M,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,24,Hungarian,F,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,25,Hungarian,M,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,26,Hungarian,M,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,1
Krajcsi2018,27,Hungarian,F,39,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,28,Hungarian,F,56,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,29,Hungarian,F,55,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,30,Hungarian,M,60,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,31,Hungarian,M,50,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,32,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,33,Hungarian,M,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,34,Hungarian,F,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,35,Hungarian,F,39,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,36,Hungarian,F,51,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,37,Hungarian,M,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,38,Hungarian,M,44,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,39,Hungarian,M,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,40,Hungarian,F,42,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,41,Hungarian,F,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,42,Hungarian,F,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,43,Hungarian,M,52,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,44,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,45,Hungarian,M,50,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,46,Hungarian,F,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,47,Hungarian,M,44,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,48,Hungarian,F,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,49,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,50,Hungarian,F,46,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,51,Hungarian,F,42,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,52,Hungarian,M,57,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,53,Hungarian,M,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,54,Hungarian,M,37,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,55,Hungarian,F,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,56,Hungarian,F,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,57,Hungarian,M,36,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,1
Krajcsi2018,58,Hungarian,F,44,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,59,Hungarian,F,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,60,Hungarian,F,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,61,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,62,Hungarian,F,48,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,63,Hungarian,M,40,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,1
Krajcsi2018,64,Hungarian,M,49,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,65,Hungarian,M,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,66,Hungarian,F,41,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,1
Krajcsi2018,67,Hungarian,M,42,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
Krajcsi2018,68,Hungarian,F,40,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,69,Hungarian,M,43,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,1
Krajcsi2018,70,Hungarian,M,45,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,71,Hungarian,M,39,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,3
Krajcsi2018,72,Hungarian,F,40,non-titrated,"Krajcsi, A. (2019, March 19). Follow-up questions influence the measured number knowledge in the Give a number task. https://doi.org/10.31234/osf.io/fky69",3,2
