Experiment,Language,Participant,Location,Dual,Age,Knower.Level,method,cite,lab
Marusic_Barner_2016,Slovenian,02042015-ULA-_,Bistrica,Dual,38.30276485,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,02042015-Val-_,Bistrica,Dual,32.4226663,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-_-T,Bistrica,Dual,54.8918697,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-_-T,Bistrica,Dual,58.11114153,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-A-T,Bistrica,Dual,59.65507802,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-A-V,Bistrica,Dual,58.76813578,3,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-AK-T,Bistrica,Dual,56.92855188,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-AM-V,Bistrica,Dual,45.06980564,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-Do-T,Bistrica,Dual,43.78866685,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-E-T,Bistrica,Dual,41.22638927,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-E-V,Bistrica,Dual,25.72132494,NA,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-F-V,Bistrica,Dual,39.68245278,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-J-V,Bistrica,Dual,26.31261976,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-JJ-V,Bistrica,Dual,25.42567753,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-K-T,Bistrica,Dual,59.26088147,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-Ka-T,Bistrica,Dual,40.76649329,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-L-T,Bistrica,Dual,42.14618122,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-L-V,Bistrica,Dual,28.02080482,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-La-T,Bistrica,Dual,51.70544758,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-LA-V,Bistrica,Dual,40.47084588,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-M-T,Bistrica,Dual,53.61073091,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-Ma-T,Bistrica,Dual,58.60388722,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-MaP-T,Bistrica,Dual,53.61073091,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-N-T,Bistrica,Dual,56.60005475,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-N-V,Bistrica,Dual,27.33096085,NA,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-Ne-T,Bistrica,Dual,53.93922803,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-NE-V,Bistrica,Dual,31.92992061,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-NL-V,Bistrica,Dual,49.80016425,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-R-V,Bistrica,Dual,50.35860936,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-RO-V,Bistrica,Dual,55.74596222,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-T-T,Bistrica,Dual,59.65507802,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-T-V,Bistrica,Dual,52.52669039,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-Ti-T,Bistrica,Dual,45.7596496,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-U-T,Bistrica,Dual,53.84067889,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-V-V,Bistrica,Dual,57.88119354,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,05032015-VI-V,Bistrica,Dual,28.34930194,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,13022015-Ti-V,Bistrica,Dual,51.73829729,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,13032015-K-_,Bistrica,Dual,37.31727347,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,16042015-_-_,Bistrica,Dual,30.02463728,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,16042015-G-V,Bistrica,Dual,32.02846975,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,16042015-J-V,Bistrica,Dual,29.82753901,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,16042015-KA-V,Bistrica,Dual,34.36079934,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,16042015-M-V,Bistrica,Dual,27.26526143,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,16042015-T-_,Bistrica,Dual,34.68929647,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,A-_-13032015,Bistrica,Dual,36.52888037,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,A-V-13022015,Bistrica,Dual,43.657268,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,B-V-13022015,Bistrica,Dual,38.4341637,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,E-_-13032015,Bistrica,Dual,36.13468382,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,EL-T-13032015,Bistrica,Dual,50.65425678,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,EM-T-13032015,Bistrica,Dual,31.8970709,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,ER-T-13032015,Bistrica,Dual,50.75280591,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,G-_-13032015,Bistrica,Dual,45.10265535,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,J-T-13032015,Bistrica,Dual,36.95592664,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,L-T-13032015,Bistrica,Dual,58.17684095,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,L-V-13022015,Bistrica,Dual,43.95291541,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,M-_-13032015,Bistrica,Dual,32.91541199,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,M-V-13022015,Bistrica,Dual,50.42430879,5,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,MA-_-13032015,Bistrica,Dual,27.62660827,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,MO-_-13032015,Bistrica,Dual,27.69230769,0,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,NE-_-13032015,Bistrica,Dual,37.35012319,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,NI-_-13032015,Bistrica,Dual,33.90090337,1,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,P-T-13032015,Bistrica,Dual,35.05064331,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,S-V-13022015,Bistrica,Dual,39.38680537,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,T-V-13022015,Bistrica,Dual,40.99644128,2,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
Marusic_Barner_2016,Slovenian,TA-V-13022015,Bistrica,Dual,58.53818779,3,non-titrated,"Marusic, F., Zaucer, R., Plesnicar, V., Razborcek, T., Sullivan, J., & Barner, D. (2016). Does grammatical structure accelerate number word learning? Evidence from learners of dual and non-dual dialects of Slovenian.ÊPloS one,Ê11(8), e0159208.",Barner
